data,label
"[2013, 21, 6, 0, 1]",0
"[2013, 21, 6, 1, 1]",0
"[2013, 21, 6, 2, 1]",0
"[2013, 21, 6, 3, 1]",0
"[2013, 21, 6, 4, 1]",0
"[2013, 21, 6, 5, 1]",0
"[2013, 21, 6, 6, 1]",0
"[2013, 21, 6, 7, 1]",0
"[2013, 21, 6, 8, 1]",3
"[2013, 21, 6, 9, 2]",2
"[2013, 21, 6, 10, 2]",1
"[2013, 21, 6, 11, 2]",3
"[2013, 21, 6, 12, 1]",7
"[2013, 21, 6, 13, 1]",2
"[2013, 21, 6, 14, 1]",0
"[2013, 21, 6, 15, 1]",3
"[2013, 21, 6, 16, 1]",6
"[2013, 21, 6, 17, 1]",3
"[2013, 21, 6, 18, 2]",4
"[2013, 21, 6, 19, 1]",2
"[2013, 21, 6, 20, 1]",0
"[2013, 21, 6, 21, 1]",3
"[2013, 21, 6, 22, 1]",2
"[2013, 21, 6, 23, 1]",1
"[2013, 22, 0, 0, 1]",0
"[2013, 22, 0, 1, 1]",2
"[2013, 22, 0, 2, 1]",1
"[2013, 22, 0, 3, 1]",1
"[2013, 22, 0, 4, 1]",0
"[2013, 22, 0, 5, 1]",0
"[2013, 22, 0, 6, 1]",0
"[2013, 22, 0, 7, 1]",1
"[2013, 22, 0, 8, 1]",0
"[2013, 22, 0, 9, 2]",2
"[2013, 22, 0, 10, 1]",0
"[2013, 22, 0, 11, 1]",2
"[2013, 22, 0, 12, 1]",10
"[2013, 22, 0, 13, 1]",9
"[2013, 22, 0, 14, 1]",4
"[2013, 22, 0, 15, 1]",4
"[2013, 22, 0, 16, 1]",1
"[2013, 22, 0, 17, 1]",2
"[2013, 22, 0, 18, 1]",2
"[2013, 22, 0, 19, 1]",0
"[2013, 22, 0, 20, 1]",2
"[2013, 22, 0, 21, 1]",2
"[2013, 22, 0, 22, 1]",0
"[2013, 22, 0, 23, 1]",1
"[2013, 22, 1, 0, 1]",0
"[2013, 22, 1, 1, 1]",0
"[2013, 22, 1, 2, 1]",0
"[2013, 22, 1, 3, 1]",0
"[2013, 22, 1, 4, 1]",0
"[2013, 22, 1, 5, 1]",0
"[2013, 22, 1, 6, 1]",0
"[2013, 22, 1, 7, 1]",2
"[2013, 22, 1, 8, 1]",4
"[2013, 22, 1, 9, 1]",0
"[2013, 22, 1, 10, 1]",2
"[2013, 22, 1, 11, 1]",0
"[2013, 22, 1, 12, 1]",0
"[2013, 22, 1, 13, 1]",2
"[2013, 22, 1, 14, 1]",5
"[2013, 22, 1, 15, 1]",4
"[2013, 22, 1, 16, 1]",5
"[2013, 22, 1, 17, 1]",6
"[2013, 22, 1, 18, 1]",22
"[2013, 22, 1, 19, 1]",10
"[2013, 22, 1, 20, 1]",5
